supplier_id,supplier_name,country,component,component_code,used_in,contract_end,single_source,risk_rating
SUP-104,Kraftwerk Zellen AG,Germany,LFP battery pack 105Ah,BAT-105,Porter,2027-03-31,No,Low
SUP-109,Voltaris Energy Co.,South Korea,LFP battery pack 160Ah,BAT-160,Atlas,2026-09-30,No,Medium
SUP-117,Lumenar Optics GmbH,Austria,3D lidar module,LX-9,Atlas,2026-11-30,Yes,High
SUP-121,Precision Drives s.r.o.,Czech Republic,Hub motor 2kW,HM-2K,Porter; Atlas,2028-01-31,No,Low
SUP-133,Harmonic Joint Systems,Japan,Strain wave gearbox,SWG-14,Kestrel,2027-06-30,Yes,Medium
SUP-208,Brightline Sensors Ltd.,Taiwan,2D safety lidar,LX-5,Porter,2027-12-31,No,Low
SUP-214,Castor & Wheel Nederland B.V.,Netherlands,Polyurethane drive wheel,PW-200,Porter; Atlas,2026-05-31,No,Low
SUP-219,NordicCompute AB,Sweden,Edge compute module,ECM-4,Porter; Atlas; Kestrel,2027-09-30,No,Medium
SUP-226,Shenzhen Anlun Electronics,China,Motor controller board,MCB-3,Kestrel,2026-12-31,Yes,High
SUP-230,Alpen Kabel GmbH,Germany,Wiring harness,WH-7,Porter; Atlas,2029-02-28,No,Low
